word	zone	item	nItem	meanItemRT	sdItemRT	gmeanItemRT	gsdItemRT
a	423	3	91	311.5164835164835	108.39478899296903	294.39784846521894	1.399983474427089
a	423	8	73	342.13698630136986	167.3653119400537	312.56013913243424	1.508689630969335
a	427	4	87	338.18390804597703	135.75623920182824	317.47070680377294	1.4134440272627564
a	441	3	90	327.94444444444446	121.16034144709039	309.6820066299797	1.3921429223435393
a	443	1	85	360.8941176470588	301.8944558367808	308.81457338672686	1.6169906985194618
a	449	6	82	326.5	111.3920060522553	310.6190376746304	1.3620335837703519
a	454	2	91	295.4725274725275	112.56112814914202	278.56845833768335	1.3967677822831401
a	458	8	71	329.3943661971831	127.39180046199873	309.2666498881498	1.4167098572986954
a	463	6	83	310	112.61871784812726	293.84286354156296	1.3730122110743064
a	466	3	91	327.5274725274725	127.9587902984864	307.06599772481104	1.4237401282863205
a	466	9	76	330.88157894736844	125.11370477612363	311.59214891562834	1.4044977489255588
a	480	2	92	327.79347826086956	168.53802766790147	298.6533727191116	1.500898808352667
a	487	1	84	308.0357142857143	106.55599200426867	292.4299722174269	1.3738290473774333
a	489	5	94	324.21276595744683	119.49210369740197	306.3834113307045	1.386498717417903
a	496	2	90	300.46666666666664	106.31310551617979	285.38316719805044	1.367456230877725
a	501	7	74	314.9054054054054	232.38142764770774	284.9286153306548	1.4653399137376177
a	508	7	75	314.88	170.71597718100335	289.28265812536046	1.4611569623132317
a	511	3	92	317.29347826086956	105.05430704891158	301.78423766547195	1.3684371848075436
a	513	5	94	320.6914893617021	200.7257813078054	290.81152326284683	1.486248812464556
a	518	9	77	320.5974025974026	112.68298098511168	303.1606550476135	1.393133371733252
a	520	3	92	318.60869565217394	129.73362028112456	299.06740146874796	1.4085949850295862
a	520	8	73	367.35616438356163	189.94826560752256	330.42201898556596	1.5600855711367927
a	524	8	73	401.36986301369865	251.03294974350558	352.705142849199	1.6200791626831677
a	530	6	82	304.6463414634146	147.21374163844425	281.7328987831414	1.4419352291347358
a	536	2	91	433.1208791208791	295.75015112853595	370.7681318717055	1.6886452810251031
a	537	9	78	306.47435897435895	87.4798268929478	294.82005047110073	1.321108931806369
a	543	10	70	326.95714285714286	130.2790133715011	307.441084253455	1.4022460443870595
a	549	2	90	313.8	113.29658800657936	295.16690372565535	1.418645353484601
a	555	7	75	350.88	179.10324366658435	316.7650483987237	1.5451831935939286
a	556	5	94	308.51063829787233	113.97224192153303	291.796097424105	1.3812813629252831
a	561	3	91	316.7032967032967	133.92058131639848	296.54149560213466	1.4171678743654057
a	570	9	78	312.29487179487177	135.32213696428514	291.49030767350024	1.4264621750797775
a	572	1	83	288.09638554216866	111.5884877419372	271.5402324872941	1.3938401879339146
a	576	1	86	296.5	121.34314493834998	276.6420936728321	1.4348064909255827
a	576	8	72	333.40277777777777	134.94721552551863	310.3065473908594	1.453580339692359
a	577	3	90	333.06666666666666	143.97072111830875	309.68803659547365	1.4488648143181202
a	578	4	88	325.875	121.91770471977371	306.0455668079667	1.4218294572270473
a	586	1	84	312.76190476190476	123.32996382489968	292.93644609768745	1.423387079809236
a	587	2	90	308.5888888888889	128.23897060964435	289.145533276755	1.4153398276037799
a	588	7	74	308.8918918918919	105.26737875167419	293.39641832086977	1.3717846730741239
a	588	9	78	322.56410256410254	138.54003029211444	300.84317438920743	1.429218936830052
a	592	3	91	318.05494505494505	117.27435663978177	299.6588425515561	1.4047702690099588
a	592	9	78	342.8974358974359	157.70995815873803	318.94960441056145	1.432629197111771
a	593	4	88	356.79545454545456	178.2339389414811	327.41699474950354	1.4908539969529468
a	598	4	88	335.4318181818182	131.68708953682287	315.2490693452268	1.4090177609434946
a	600	5	94	324.98936170212767	162.9740723940666	301.29218756377264	1.4335779662721568
a	612	1	84	298.1904761904762	121.46549673119549	280.3128946938657	1.3980428042148167
a	616	6	83	301.4457831325301	97.80571246372965	287.7164159855877	1.3502795332409607
a	623	10	70	342.75714285714287	123.33992568134919	322.6246755995589	1.4159083312740024
a	626	1	85	305.90588235294115	103.80540672328196	290.6185767149677	1.374380433355451
a	627	4	88	308.4318181818182	112.48211050146202	292.6464398416094	1.3703505439395929
a	632	8	72	334.5	148.27629330047867	307.26900532857735	1.4972064298833647
a	670	7	75	295.49333333333334	112.65030479839444	277.8493887293294	1.4096835878821274
a	674	1	85	292.32941176470587	130.78329843087528	274.89371823125157	1.3821222310786716
a	681	9	78	319.4230769230769	117.10939709993768	300.84463737545883	1.4100010687324922
a	682	7	73	288.5753424657534	91.16543536770864	276.1215093118238	1.3410471660553545
a	688	4	88	337.95454545454544	162.80006136086482	313.8809074613541	1.4346059097382182
a	693	2	91	325.7362637362637	146.4802478276952	302.2700501344276	1.4449352187099
a	700	5	93	306.505376344086	114.44626835483085	290.9516663637812	1.3627685829446687
a	701	6	83	314.2289156626506	111.54976197908431	297.47521360802267	1.3838359441539243
a	703	7	74	305.9864864864865	116.13177367102968	287.63774306288923	1.4149584377661366
a	705	8	72	314.55555555555554	116.629652075915	295.88754803557833	1.4116839580517178
a	708	9	76	320.75	116.13970036124599	303.24208694259863	1.3870796234426592
a	709	3	91	321.8021978021978	145.9326495933594	300.35015822771345	1.4232415117423036
a	709	5	93	294.5376344086022	94.41335562530392	281.39646175163773	1.3472191155652784
a	715	3	91	311.6043956043956	96.65630738985303	297.8660990665494	1.3498307450820466
a	715	7	74	314.5405405405405	154.12503278575696	289.68566669601023	1.4726499515261866
a	724	2	92	309	97.85557871534094	294.87274825423856	1.3562600374827627
a	725	4	88	320.4431818181818	149.80499646030606	300.0610325178201	1.3972459857261255
a	738	2	91	307.4175824175824	93.81270536245975	294.46665984286113	1.3401501877994082
a	740	5	94	308.98936170212767	103.70279023639627	293.70565030865095	1.3709518973234696
a	750	9	77	305.87012987012986	113.02297747865612	287.42474005435673	1.421794927517003
a	755	5	93	318.18279569892474	123.75861377457105	299.66196601490225	1.3970049578521273
a	757	3	91	309.1978021978022	116.11079189772151	291.86623264427783	1.3941285303368456
a	760	3	91	326.43956043956047	185.9009418893842	296.6303174625983	1.4944096616430582
a	765	8	70	334.6142857142857	119.20950901390998	315.7107518457937	1.4045521571727668
a	771	7	73	307.2739726027397	105.27995222711532	291.50289533527706	1.381643765779223
a	772	9	77	308.24675324675326	99.74403502072005	293.28344441957165	1.3725121393143553
a	789	5	92	326.0326086956522	156.10643390074554	300.6760497680861	1.4570072973696724
a	790	10	69	319.5507246376812	131.8399805726941	296.89101318904926	1.4620430232518749
a	792	2	91	310.24175824175825	158.9029991087743	284.78495382246007	1.4752904727577716
a	810	8	71	350.7042253521127	161.88809136174436	322.04555228735103	1.4966283082903258
a	811	10	69	292.40579710144925	90.61186113122338	279.57517570141005	1.3489934464863986
a	812	2	92	307.1304347826087	105.15077791681897	291.30450182652595	1.3798345029192935
a	813	9	76	325.30263157894734	151.01320204863697	301.8252907958699	1.4412985335470376
a	815	7	73	284.09589041095893	97.12580106684688	271.02579998150276	1.3449808976441593
a	827	2	91	313.85714285714283	138.17698565636525	290.37574202124	1.4675865466989064
a	830	2	92	293.80434782608694	100.26538840874656	278.8891692227045	1.377615309190262
a	840	2	92	318.1630434782609	152.24295773416398	294.01995248077725	1.4535960722702008
a	843	6	81	312.9259259259259	148.3851220454546	288.6954595317922	1.4595381123651499
a	845	10	69	308.7391304347826	174.39185526160816	283.42003803351486	1.4619409608969771
a	857	3	91	352.1868131868132	174.50418091698882	323.9059015129402	1.4713646225315413
a	859	9	76	303.88157894736844	118.02880632628214	285.93793619101496	1.3994562905234518
a	871	5	95	330.2842105263158	157.46885292545107	307.52217329068407	1.4269819897236797
a	880	9	76	290.0921052631579	88.42174357499462	277.2261775284829	1.3593059598377362
a	890	2	90	321.64444444444445	264.876834261397	284.91562661326736	1.5242567976052428
a	891	10	71	317.28169014084506	118.39512334293306	297.1673246997912	1.43786771547687
a	893	6	80	289.975	107.29422165242639	275.238883210134	1.3644852578486093
a	917	9	75	323.26666666666665	142.42886639295412	302.2385996995705	1.4154344611626526
a	918	6	81	270.17283950617286	115.8087637145239	254.38953705013398	1.379541595284965
a	920	5	93	333.51612903225805	160.69959909741567	310.44073670076995	1.4253869409049742
a	932	6	82	277.2926829268293	99.76125671251933	262.3245436312272	1.3859423818529513
a	932	7	73	268.63013698630135	90.01149723620419	256.99198122464406	1.331420063848779
a	942	3	91	313.4945054945055	107.44873440404275	297.68634492105383	1.373317542287185
a	945	9	76	322.0394736842105	115.04381087678134	304.2720546323532	1.39536297405665
a	948	2	88	290.5	115.35382848924624	273.42214477744	1.3981284218734775
a	950	6	82	297.7073170731707	114.05137328532523	281.44363562539144	1.380662239212701
a	957	1	83	279.06024096385545	119.32782773985268	263.98405284309706	1.3623444912911473
a	958	6	82	309.3780487804878	121.98306300607176	291.60886186362757	1.3914987270073014
a	967	5	93	404.9569892473118	234.1348048147038	359.0572063127034	1.5933921362898533
a	971	1	84	309.82142857142856	112.6186828552664	293.67898656394215	1.3763372785449215
a	972	5	93	305.494623655914	132.8705338859168	286.785685540284	1.4009146676922604
a	986	9	75	323.62666666666667	146.00164506045937	296.85785504670366	1.5065992491299989
a	995	9	75	303.32	97.04375719648746	288.4213072986589	1.3793469681770556
a	1000	3	91	300.3736263736264	95.52052116362204	287.7699891964658	1.3343343853341618
a	1004	3	91	304.4945054945055	101.69402622315123	289.65793215007204	1.3668117433040639
a	1015	1	85	308.3529411764706	119.39277974124623	290.60535369655173	1.3956777372018283
a	1035	6	80	283.65	101.77365056519831	268.42741886495736	1.3852467145092324
a	1036	4	86	296.1511627906977	128.32711120110295	276.81723142500374	1.4196137049380286
a	1038	6	80	281.525	117.52650926385436	262.89839277239054	1.4271681505759806
a	1042	1	84	333.8452380952381	165.72902066416754	307.14662195079615	1.4672073871732743
a	1046	6	78	280.4871794871795	92.91033851155102	267.9448249415887	1.3424021380749551
A	1	2	92	405.8369565217391	209.9544313287802	366.3838752516645	1.5491866844501259
A	23	3	90	400.9	210.81719276198737	363.6625596415928	1.5278245958154968
A	28	4	89	421.4943820224719	281.0611436064267	359.1867816805643	1.718885157829418
A	172	1	86	365.5348837209302	187.0256791223141	333.32954406508105	1.5102995687209375
A	211	8	74	366.3243243243243	156.18281421147677	337.7657734225004	1.4895738575394784
A	495	3	91	325.8241758241758	119.58916649249103	307.7196197636576	1.3927467960879265
A	613	3	90	318.94444444444446	127.15913776486383	300.11765713949364	1.403442364171814
A	615	8	71	341.90140845070425	179.18028869027629	315.2801276124335	1.44905077776362
A	767	1	85	324.74117647058824	162.23272179929967	302.4964593740876	1.4133716859825565
Abby	28	6	84	447	308.81354767709865	389.2759295522695	1.6385215289995758
Abby	66	6	83	366	261.6155250110919	320.4999771167833	1.5944368931217312
Abby	109	6	83	356.89156626506025	167.03680126482664	326.62565816986915	1.506626310250249
Abby	173	6	83	365.0843373493976	208.48935194306904	331.8905861387895	1.5037999603100907
Abby	180	6	84	349.01190476190476	148.75884050251761	323.20560787412546	1.4713150208178898
Abby	204	6	84	355.60714285714283	136.443555376524	332.7559286805287	1.436153271513526
Abby	235	6	84	376.82142857142856	238.78765889657714	334.6259355358006	1.5655642226276016
Abby	272	6	83	354.3855421686747	130.2268032174132	333.1204427135895	1.4217720361114714
Abby	308	6	83	320.7951807228916	128.38953295192442	300.45170516537604	1.4204361620746255
Abby	327	6	82	349.6219512195122	125.7985495454963	329.6521542420415	1.4067631948194899
Abby	356	6	83	342.144578313253	109.33637206726867	326.57669860441035	1.3544138320921633
Abby	378	6	83	350.93975903614455	213.18624340128275	317.7396212843782	1.4989664538269345
Abby	395	6	83	361.2289156626506	115.44656934357174	343.42525391936726	1.3798498585896206
Abby	428	6	83	324.6144578313253	95.53735463097873	311.4599050259654	1.3354431861885072
Abby	477	6	82	307.9512195121951	107.54854229189587	292.5253810246108	1.3678783773299727
Abby	496	6	82	300.4878048780488	91.12469328335844	287.8176115438074	1.340764297354317
Abby	502	6	82	341.8780487804878	179.9663473510027	313.1130678317831	1.477190884591112
Abby	528	6	82	298.7926829268293	104.59147308502617	284.18823523542756	1.3611114574549739
Abby	558	6	82	311.5609756097561	123.47690317945911	293.574517152294	1.3921232741858496
Abby	614	6	84	326.7857142857143	135.29655704295075	306.91838705448646	1.402866601338591
Abby	679	6	83	386.9879518072289	291.28267613101616	335.09555711805103	1.613072702006334
Abby	770	6	82	326.609756097561	128.8675035992022	304.66548952343135	1.4459034331268121
Abby	820	6	82	297.8048780487805	143.15910504968562	278.81096642603677	1.3951561082587653
Abby	824	6	83	358.7831325301205	345.7199645064778	299.5987915393413	1.6482483014531772
Abby	846	6	81	333.98765432098764	197.1204894111189	303.22871601731197	1.496169758125184
